,word,adult_definition,kids_definition,adult_word_count,kids_word_count,from_Qwen2,word_count,similarity
1190,adversary,'Man who is hostile to feels hatred towards opposes the interests of or intends injury to someone else.','a person that somebody is opposed to and competing with in an argument or a battle',18,16,a person someone doesn't like and fights against in a talk or game,13,0.8077562
1191,antagonist,'Man who is hostile to feels hatred towards opposes the interests of or intends injury to someone else.','a person who strongly opposes somebody/something',18,6,a person who really doesn't like somebody or something,9,0.7874143
1192,euphemism,'A word or figure of speech that makes something look prettier than it is.','an indirect word or phrase that people often use to refer to something embarrassing or unpleasant sometimes to make it seem more acceptable than it really is',14,27,"A word or phrase people use when they don't want to say something embarrassing or not nice, to make it sound better.",22,0.8689761
1193,connotation,'The associated or secondary meaning of a word or expression in addition to its explicit or primary meaning.','an idea suggested by a word in addition to its main meaning',18,12,a thought about a word that has more than one meaning,11,0.8221058
1194,portmanteau,'A blend of two meanings packed up into one word.','a large heavy bag that opens into two parts',10,9,"a big, heavy bag that splits into two pieces",9,0.797504
1195,durable,'Able to resist wear decay.','likely to last for a long time without breaking or getting weaker',5,12,"It will stay strong and not break for a long, long time.",12,0.74714404
1196,lasting,'Able to resist wear decay.','continuing to exist or to have an effect for a long time',5,12,Something that lasts for a really long time.,8,0.66364473
1197,enduring,'Able to resist wear decay.','lasting for a long time',5,5,"going on for a long, long time",7,0.6111716
1198,pizza,'An oven-baked flatbread covered with tomato sauce and additional toppings.','an Italian dish consisting of a flat round bread base with cheese tomatoes vegetables meat etc. on top',10,18,"A yummy Italian food that is a flat, round bread with cheese, tomatoes, veggies, and meat on top.",18,0.8672362
1199,wheelchair,'A chair mounted on large wheels for the transportation or use of a sick or disabled person.','a special chair with wheels used by people who cannot walk because of illness an accident etc.',17,17,A special chair with wheels for people who can't walk because they are sick or had an accident.,18,0.88652575
1200,phonetics,'A branch of linguistics that comprises the study of the sounds of human speech.','the study of speech sounds and how they are produced',14,10,learning about sounds we make when we talk,8,0.7226951
1201,gallows,'The wooden framework on which persons are put to death by hanging.','a structure on which people for example criminals are killed by hanging',12,12,"a place where bad people, like thieves, get hung up high and don't come down alive",16,0.7537806
1202,distraught,'Deeply agitated especially from emotion.','extremely upset and anxious so that you cannot think clearly',5,10,"really sad and worried, so you can't think well",9,0.7238784
1203,milkshake,'A thick beverage consisting of milk and ice cream mixed together often with fruit chocolate or other flavouring.','a drink made of milk and sometimes ice cream with the added taste of fruit or chocolate which is mixed or shaken until it is full of bubbles',18,28,"a yummy drink with milk and ice cream, mixed with fruit or chocolate, all blended up to have fun bubbles",20,0.822427
1204,semiotics,'The study of sign processes or signification and communication signs and symbols both individually and grouped into sign systems.','the study of signs and symbols and of their meaning and use',19,12,"learning about signs and symbols, what they mean, and how to use them",13,0.7867813
1205,defraud,'To deceive someone deliberately in order to make a financial gain.','to get money illegally from a person or an organization by tricking them',11,13,to take money not allowed from someone or a big group by being sneaky,14,0.8121029
1206,stylistics,'The study of the style used in spoken and written language and what effect the writer or speaker would achieve with the reader or hearer.','the study of style and the methods used in written language',25,11,learning about how people write and the ways they use words,11,0.7239133
1207,lexicography,'The act of writing dictionaries.','the theory and practice of writing dictionaries',5,7,the idea and way of making word books,8,0.7278143
1208,aphasia,A loss of the ability to produce and/or comprehend language due to injury to brain areas specialized for these functions Broca's area which governs language production or Wernicke's area which governs the interpretation of language. ,'the loss of the ability to understand or produce speech because of brain damage',35,14,"When the brain is hurt, someone might not be able to talk or understand words anymore.",16,0.80205524
1209,onomastics,'The study of the meaning origin and distribution of names.','the study of the history and origin of names especially names of people',10,13,learning about the stories and where people's names come from,10,0.738451
1210,dialect,'A regional variant of a language.','the form of a language that is spoken in one area with grammar words and pronunciation that may be different from other forms of the same language',6,27,"the way people talk in one place, with their own rules and sounds, that might be not the same as how people talk in other places with the same language",30,0.82838625
1211,trepidation,'A state of hesitation or concern.','great worry or fear about something unpleasant that may happen',6,10,being really afraid of something bad that might happen,9,0.7682242
1212,creationism,'The doctrine that each species (or perhaps higher taxon) of organism was created separately in much its present form by a supernatural creator.','the belief that the universe was made by God exactly as described in the Bible',23,15,The thought that God made the world just like the Bible says.,12,0.847402
1213,cigarette,'A product manufactured out of cured and finely cut leaves which are rolled or stuffed into a paper-wrapped cylinder for smoking.','a thin tube of paper filled with tobacco for smoking',21,10,a little paper tube with tobacco inside for smoking,9,0.8487432
1214,negotiation,'A discussion intended to produce an agreement.','formal discussion between people who are trying to reach an agreement',7,11,A talk where people try to agree.,7,0.77491057
1215,calligraphy,'The art of beautiful writing.','beautiful handwriting that you do with a special pen or brush; the art of producing this',5,16,Pretty writing made with a cool pen or brush; it's the skill of making it look nice.,17,0.85236675
1216,genome,'The whole hereditary information of an organism encoded in its DNA.','the complete set of genes in a cell or living thing',11,11,All the genes in a living thing.,7,0.8158906
1217,anglicism,'A word coming from the English language being specific for this and being taken over by another language.','a word or phrase from the English language that is used in another language',18,14,a word from English used in another language,8,0.83837456
1218,spinach,'An important leaf vegetable grown throughout the temperate regions of the world.','a vegetable with large dark-green leaves that are cooked or eaten in salads',12,13,a big leaf you can eat in salads or cook.,10,0.80863094
1219,farmer,'A person who works the land or who keeps livestock especially on a farm.','a person who owns or manages a farm',14,8,a person who has or takes care of a farm,10,0.6941071
1220,postposition,'Not inflectable words that are—contrary to prepositions—after the word the case is given to.','a word or part of a word that comes after the word it relates to for example ‘-ish’ in ‘greenish’',14,20,"A tiny part of a word that is put after a word, like 'ish' in 'greenish'.",16,0.87221295
1221,positron,'Antiparticle of the electron. It has the same mass but reverse electric charge. Its symbol is e+.','a particle in an atom which has the same mass as an electron and an equal but positive charge',17,19,a tiny thing in an atom that is like an electron but has a plus charge,16,0.8638296
1222,slipper,'A low shoe that can be slipped on and off easily and is usually worn indoors.','a loose soft shoe that you wear in the house',16,10,"a comfy, loose shoe you wear at home",8,0.78765774
1223,adhesion,'The attraction of dissimilar particles to cling to one another.','the ability to stick or become attached to something',10,9,the power to stick or hold onto something,8,0.86115813
1224,brine,'Water saturated or strongly impregnated with salt.','water that contains a lot of salt used especially for preserving food',7,12,"Water with much salt, good for keeping food.",8,0.78406996
1225,tomato,'The savoury fruit of the Solanum lycopersicum red when ripe.','a soft fruit with a lot of juice and shiny red skin that is eaten as a vegetable either raw or cooked',10,22,"a yummy, soft fruit with red skin and lots of juice. You can eat it just like a veggie, raw or cooked.",22,0.8727218
1226,trolleybus,'A bus powered via overhead electric cables that does not run on tracks.','a bus driven by electricity from a cable above the street',13,11,A bus that runs on electricity from a wire up high on the street.,14,0.8662882
1227,hackneyed,'Repeated too often; overfamiliar through overuse.','used too often and therefore boring',6,6,used a lot and now not fun,7,0.68918926
1228,banal,'Repeated too often; overfamiliar through overuse.','very ordinary and containing nothing that is interesting or important',6,10,not special and has no fun or big things,9,0.6575863
1229,plural,'Grammatical number that is used for more that one (many) object of the same type.','a form of a noun or verb that refers to more than one person or thing',15,16,a word that talks about more than one person or thing,11,0.8125649
1230,entrails,'The internal organs of an animal.','the organs inside the body of a person or an animal especially their intestines',6,14,"the insides of a person or animal, like their gut",10,0.83394706
1231,cowardice,'The refusal to confront a reasonable degree of fear or anxiety.','fear or lack of courage',11,5,being afraid or not brave,5,0.7232449
1232,woodlouse,'A terrestrial crustacean that is a member of the suborder Oniscidea. It has a rigid segmented calcareous exoskeleton and fourteen jointed limbs. It is usually found in damp dark places such as under rocks and logs.','a small grey creature like an insect with a hard shell that lives in decaying wood or wet soil',36,19,"a tiny, grey bug with a hard cover that lives in old wood or wet dirt",16,0.8629724
1233,roly-poly,'A terrestrial crustacean that is a member of the suborder Oniscidea. It has a rigid segmented calcareous exoskeleton and fourteen jointed limbs. It is usually found in damp dark places such as under rocks and logs.','a hot dessert (= a sweet dish) made from suet pastry spread with jam and rolled up',36,17,"A yummy, hot treat made from dough with jam inside, all rolled up.",13,0.81153286
1234,colloquial,'Characteristic of / belonging to informal spoken language or conversation.','used in conversation but not in formal speech or writing',10,10,"We use it when we talk, but not in school work or fancy letters.",14,0.7227032
1235,ballistics,'The science that deals with the motion behavior and effects of projectiles especially bullets gravity bombs rockets etc.','the scientific study of things that are shot or fired through the air such as bullets and missiles',18,18,It's about learning how things like arrows and balls fly in the air.,13,0.78547734
1236,acronym,'An abbreviation that is formed using the initial letters of words or word parts in a phrase or name.','a word formed from the first letters of the words that make up the name of something for example ‘AIDS’ is an acronym for ‘acquired immune deficiency syndrome’',19,28,AIDS is a short name made from the first letters of a longer name. It stands for Acquired Immune Deficiency Syndrome.,21,0.823747
1237,initialism,'A acronym based on the initials of the distinct Words. \(LASER -> „Light Amplification by Stimulated Emission of Radiation“)','a word formed from the first letters of the words that make up the name of something with each letter pronounced separately for example ‘CD’ is an initialism for ‘compact disc’',19,31,"A word made by using the first letters of other words, like ""CD"" for ""compact disc"". Each letter is said one by one.",23,0.87506604
1238,innuendo,'A derogatory hint or reference to a person or thing.','an indirect remark about somebody/something usually suggesting something bad or rude; the use of remarks like this',10,17,"A sneaky comment about someone or something, often hinting something not nice.",12,0.80910057
1239,prerogative,'An exclusive legal right given from a government or state and invested in an individual or group.','a right or advantage belonging to a particular person or group because of their importance or social position',17,18,A special thing that some people get because they are important or have a high place in society.,18,0.73651886
1240,acquiesce,'To concur not heartily but so far as not to oppose.','to accept something without arguing even if you do not really agree with it',11,14,"to take something and not argue, even if you don't agree",11,0.8032855
1241,parse,'To analyse and describe a sentence grammatically.','to divide a sentence into parts and describe the grammar of each word or part',7,15,To split a sentence into bits and talk about how each word works.,13,0.8116458
1242,clitic,'A morpheme that functions like a word but appears not as an independent word but rather is always attached to a following or preceding word.','a word that is not stressed and usually only occurs in combination with another word for example ‘m’ in ‘I’m’',25,20,"A little word, not much said, that comes with another word, like 'm' in 'I'm'.",15,0.7939996
1243,enclitic,'A clitic that follows its host.','a word pronounced with very little emphasis so that it becomes part of the word before for example ‘n’t’ in ‘can’t’',6,21,"A small word said with not much strength, like 'n't' in 'can't'.",12,0.79596275
1244,superconductivity,'The phenomenon that the electrical resistance of some materials becomes zero below a certain (normally very low) temperature.','the property (= characteristic) of some substances at very low temperatures to let electricity flow with no resistance',18,18,"Some things, when super cold, let electricity go through them without stopping.",12,0.7431382
1245,sundial,'A device used to tell the time with the help of the sun.','a device used outdoors especially in the past for telling the time when the sun is shining. A pointed piece of metal throws a shadow on a flat surface that is marked with the hours like a clock and the shadow moves around as the sun moves across the sky.',13,50,"A thing used outside, like a old-timey clock. When the sun shines, a sharp part makes a shadow on a flat part. The flat part has time marks, and the shadow moves like a clock hand as the sun goes across the sky.",43,0.896946
1246,sapwood,'Soft wood of a tree between the bark and the heartwood.','the soft younger outer layers of the wood of a tree inside the bark',11,14,"the soft, young wood part of a tree, just under the bark.",12,0.81657016
1247,quiver,'A container for arrows crossbow bolts or darts such as those fired from a bow crossbow or blowgun.','to shake slightly; to make a slight movement',18,8,to wiggle just a little bit,6,0.6842029
1248,misapprehension,'The understanding of something in a different way than it is meant.','a wrong idea about something or something you believe to be true that is not true',12,16,"A wrong thought you have, thinking something is true but it's not.",12,0.85090506
1249,misconception,'The understanding of something in a different way than it is meant.','a belief or an idea that is not based on correct information or that is not understood by people',12,19,a thought that is wrong because people don't know the right facts or don't get it,16,0.8106237
1250,ester,'An organic compound formed by a reaction of a carboxylic acid and an alcohol.','a chemical that is formed by the reaction between an acid and an alcohol. Esters made from acids that contain carbon are generally sweet-smelling.',14,24,A mix from a sour thing and a drink. Sweet smells come from some mixes with stuff from plants.,19,0.64527464
1251,alkene,'An unsaturated chemical compound containing at least one carbon-to-carbon double bond. The simplest alkenes with only one double bond and no other functional groups form a homologous series of hydrocarbons with the general formula CnH2n.','any of a series of gases that contain hydrogen and carbon and that have a double bond (= force of attraction) between two of the atoms of carbon',35,28,These are air things made of tiny bits of hydrogen and carbon. They have a strong link between two carbon bits.,21,0.7730782
1252,dyslexia,A condition in which a person's ability to read and write is much lower than would be expected of someone of that person's intelligence.,'a condition affecting the brain that causes difficulty in reading and spelling for example but does not affect intelligence',24,19,"A problem with the brain that makes reading and spelling hard, but doesn't make you less smart.",17,0.7989464
1253,braille,'A system of writing in which letters and some combinations of letters are represented by raised dots arranged in three rows of two dots each and are read by using the fingertips.','a system of printing for blind people in which the letters of the alphabet and the numbers are printed as raised dots (= small round marks) that can be read by touching them',32,33,A special way to print for blind folks. It uses tiny bumps for letters and numbers. They can feel the bumps to read.,23,0.82076937
1254,polyester,'A condensation polymer (C10H8O4) which contain the ester functional group in their main chain.','a strong material made of fibres (called polyesters) which are produced by chemical processes often mixed with other materials and used especially for making clothes',14,25,"A tough stuff, made from tiny bits (we call them polyesters), that comes from mixing things together. It's great for making clothes.",22,0.8084365
1255,surreptitious,'Taking pains to avoid being observed.','done secretly or quickly in the hope that other people will not notice',6,13,"done hidden or very fast, so others won't see",9,0.7267051
1256,furtive,'Taking pains to avoid being observed.','behaving in a way that shows that you want to keep something secret and do not want to be noticed',6,20,acting like you have a secret and don't want anyone to see you,13,0.77975196
1257,granite,'A rock consisting essentially of crystals of feldspar and mica in a mass of quartz.','a type of hard grey stone often used in building',15,10,"a kind of strong, grey rock used for making buildings",10,0.86034536
1258,igneous,'Formed from lava or magma.','formed when magma (= melted or liquid material lying below the earth’s surface) becomes solid especially after it has poured out of a volcano',5,24,"When hot, melted stuff from inside the earth comes out of a volcano and turns into a solid, it forms.",20,0.8556847
1259,munificence,'Liberality in bestowing gifts; extremely liberal and generous of spirit.','the quality of being extremely generous',10,6,"being very, very generous",4,0.60051167
1260,baobab,'Genus of big trees (Adansonia) from the mallow family growing in tropical countries','a short thick tree found especially in Africa and Australia that lives for many years',13,15,"a small, strong tree mostly seen in Africa and Australia that lives very long.",14,0.8735139
1261,olfactory,'Of or pertaining to the sense of smell.','connected with the sense of smell',8,6,linked to how things smell,5,0.7406938
1262,referendum,'A direct popular vote on a proposed law or constitutional amendment.','an occasion when all the people of a country can vote on an important issue',11,15,A time when everyone in a place can choose on a big matter.,13,0.81340754
1263,plebiscite,'A direct popular vote on a proposed law or constitutional amendment.','a vote by the people of a country or a region on an issue that is very important',11,18,a big choice made by folks in a place about something really important,13,0.72576845
1264,brainwashing,'Physical and psychological manipulation to change the beliefs or behavior of a person.','the activity of forcing somebody to accept your ideas or beliefs for example by repeating the same thing many times or by preventing the person from thinking clearly',13,28,"Making someone believe what you say, like saying it over and over or not letting them think straight.",18,0.8363757
1265,ferry,'A boat or a ship carrying passengers and sometimes their vehicles on short-distance scheduled services.','a boat or ship that carries people vehicles and goods across a river or across a narrow part of the sea',15,21,"A big thing, like a boat or ship, that helps people, cars, and stuff go over a river or a small sea part.",23,0.8249844
1266,propensity,'A likelihood of behaving in a particular way or going in a particular direction.','a natural desire or need that makes you tend to behave in a particular way',14,15,a want or need that makes you act a certain way,11,0.8166055
1267,predilection,'A likelihood of behaving in a particular way or going in a particular direction.','if you have a predilection for something you like it very much',14,12,"If you really like something, you have a big love for it.",12,0.7199145
1268,proclivity,'A likelihood of behaving in a particular way or going in a particular direction.','a natural desire or need that makes you tend to do something often something bad',14,15,"a want or need that pulls you to do stuff, maybe not good stuff.",14,0.7706164
1269,predisposition,'A likelihood of behaving in a particular way or going in a particular direction.','a condition that makes somebody/something likely to behave in a particular way or to have a particular illness',14,18,A thing that causes someone to act a certain way or get a specific sickness.,15,0.86461985
1270,penchant,'A likelihood of behaving in a particular way or going in a particular direction.','a special liking for something',14,5,really like something,3,0.6429762
1271,aptness,'A likelihood of behaving in a particular way or going in a particular direction.','the quality of being suitable or appropriate in the circumstances',14,10,being just right for the situation,6,0.7009361
1272,proneness,'A likelihood of behaving in a particular way or going in a particular direction.','the fact of being likely to suffer from something or to do something bad',14,14,It means you can get something not good or do a bad thing.,13,0.73007894
1273,platitude,'A saying that is overused or used outside its original context so that its original impact and meaning are lost.','a comment or statement that has been made very often before and is therefore not interesting',20,16,"a thing said many times, so it's not fun to hear again",12,0.7159146
1274,trite,'Repeated too often; overfamiliar through overuse.','boring because it has been expressed so many times before; not original',6,12,not fun because we heard it lots of times; not new,11,0.7477017
1275,blacksmith,'A craftsman expert in iron and other metals work.','a person whose job is to make and repair things made of iron especially horseshoes',9,15,"A person who makes and fixes iron things, like horseshoes, for a job.",13,0.85363686
1276,farrier,'A person who maintains the health and balance of the horse’s feet though trimming of the hoof and placement of horseshoes.','a person whose job is making and fitting horseshoes for horses’ feet',21,12,A person who makes and puts horseshoes on horses' feet.,10,0.87239957
1277,burial,'The ritual placing of a corpse in a grave.','the act or ceremony of burying a dead body',9,9,the time when people put a body in the ground after someone has died,14,0.7626375
1278,interment,'The ritual placing of a corpse in a grave.','the act of burying a dead person',9,7,putting a person who has died into the ground,9,0.79832006
1279,virtuoso,'A person especially a musician with a masterly ability technique or personal style.','a person who shows very great skill at doing something especially playing a musical instrument',13,15,"a person really good at doing something, like playing music on an instrument",13,0.8096069
1280,statue,'A three-dimension work of art usually of a person or animal usually created by sculpting carving moulding or casting.','a figure of a person or an animal in stone metal etc. usually the same size as in real life or larger',19,22,"A statue is a person or animal made from stone or metal, like in real life, but maybe bigger.",19,0.8354478
1281,additional,'(The quantity) Whereby things are increased.','more than was first mentioned or is usual',6,8,more than we usually hear or know,7,0.70033765
1282,affordable,Having a price that can be paid with one's financial means.,'cheap enough that people can afford to pay it or buy it',11,12,"not too pricey, so folks can get it.",8,0.67101765
1283,airline,'A company that flies aeroplanes to transport people and goods.','a company that provides regular flights to take passengers and goods to different places',10,14,A group that has normal trips to take people and stuff to lots of spots.,15,0.6957213
1284,supernova,'Spectacular explosion of a star at the end of its lifetime','a star that suddenly becomes much brighter because it is exploding',11,11,A star that gets really bright all of a sudden because it's blowing up.,14,0.79900277
1285,apartheid,'A system of racial segregation that was enforced in South Africa from 1948 to 1994.','the former political system in South Africa in which only white people had full political rights and other people especially black people were forced to live away from white people go to separate schools etc.',15,35,"In a place called South Africa, there was a time when only white people could do all the big things in the government. Other people, mostly black people, had to live far from white people and go to different schools.",40,0.8788811
1286,arbitration,'A process through which two or more parties designate a third party whose ruling they will accept formally.','the official process of settling an argument or a disagreement by somebody who is not involved',18,16,When people ask someone who is not fighting to decide who is right in a disagreement.,16,0.77004004
1287,faze,'To inspire fear or hesitation due to fear.','to make you feel confused or shocked so that you do not know what to do',8,16,"to make you feel all mixed up or super surprised, so you're not sure what to do",17,0.7784401
1288,overawe,'To inspire fear or hesitation due to fear.','to impress somebody so much that they feel nervous or frightened',8,11,to make someone feel very wow but also a bit scared or shaky,13,0.7711527
1289,heifer,'A young cow that has not as yet produced any offspring.','a young female cow that has not yet had a calf or has had only one calf',11,17,"A young cow who hasn't had a baby calf, or maybe just had one.",14,0.8689114
1290,amulet,'Any object whose characteristic is its alleged power to protect its owner from danger or harm.','a piece of jewellery that some people wear because they think it protects them from bad luck illness etc.',16,19,Some people wear a special jewelry piece. They think it keeps them safe from bad luck and being sick.,19,0.8973329
1291,talisman,'Any object whose characteristic is its alleged power to protect its owner from danger or harm.','an object that is thought to have magic powers and to bring good luck',16,14,a thing that people think has magic and can bring good luck,12,0.83512807
1292,bullion,'A bulk quantity of gold or silver assessed by weight and typically cast as ingots.','gold or silver in large amounts or in the form of bars',15,12,"lots of gold or silver, maybe big blocks of them",10,0.7114854
1293,amplifier,'Device which amplifies the intensity of an electrical signal in order to allow for tansmission and reception.','an electrical device or piece of equipment that makes sounds or radio signals louder',17,14,a thing that makes sounds louder,6,0.73477435
1294,doorknob,'A device attached to a door the rotation of which permits the unlatching of a door.','a type of round handle for a door that you turn in order to open the door',16,17,A round thing on a door that you twist to open it.,12,0.8795467
1295,anniversary,'The date on which an event occurred in some previous year.','a date that is an exact number of years after the date of an important or special event',11,18,a special day that comes many years after something big or nice happened,13,0.65263426
1296,eel,'A snaky edible fish which lives in freshwater and in the sea.','a long thin sea or freshwater fish that looks like a snake. There are several types of eel some of which are used for food.',12,25,"A long, skinny fish that lives in the sea or a fresh water place, looking like a snake. There are many kinds of this fish, called eel, and some are used for eating.",33,0.8873688
1297,portraiture,'The visual representation of a person or an object.','the art of making portraits; the portraits that are made',9,10,making pictures of people; the pictures that are made,9,0.84480476
1298,ubiquitous,'Being present everywhere at once.','seeming to be everywhere or in several places at the same time; very common',5,14,Being in many places all at once; happening a lot.,10,0.8157637
1299,adequate,'Enough to meet the requirement.','enough in quantity or good enough in quality for a particular purpose or need',5,14,"just right, not too little and not too much, for what you need",13,0.67884356
1300,garlic,'(Allium sativum) a perennial herbaceous plant of the Alliaceae family cultivated for its eatable bulb very appreciated in gastronomy.','a vegetable of the onion family with a very strong taste and smell used in cooking to add taste to food ',19,22,"A strong-smelling onion cousin, used in cooking to make food tastier.",11,0.854932
1301,rapacious,'Devouring or craving food in great quantities.','wanting more money or goods than you need or have a right to',7,13,"Wanting too much stuff or money, more than you should have or need.",13,0.79766566
1302,instigation,'Deliberate and intentional triggering of negative actions.','the act of causing something to begin or happen',7,9,make something start or happen,5,0.747386
1303,insurgency,'Collective violent action against an established power or arbitrary authority.','an attempt to take control of a country by force',10,10,Trying to grab a country using strong hands.,8,0.6952269
1304,trousseau,'An amount paid by the parents of a bride to the groom and or his family.','the clothes and other possessions collected by a woman who was soon going to get married to begin her married life with',16,22,"A woman, soon to be married, collected clothes and things for her new life.",14,0.82791066
1305,assortment,'Various things or products that are present in a shop or that shall be sold.','a collection of different things or of different types of the same thing',15,13,a group of many things that are all different,9,0.8051064
1306,anagram,'A word which results of the transposition or displacemente of letters in another word.','a word or phrase that is made by arranging the letters of another word or phrase in a different order',14,20,a new word made by mixing up the letters of another word,12,0.83690673
1307,watchful,'Carefully observant and or attentive.','paying attention to what is happening in case of danger accidents etc.',5,12,"Looking well, so if danger or accidents come, we know.",10,0.76468086
1308,vigilant,'Carefully observant and or attentive.','very careful to notice any signs of danger or trouble',5,10,really careful to see any signs of danger or trouble,10,0.8919327
1309,snowfall,'Precipitation in form of snow.','an occasion when snow falls; the amount of snow that falls in a particular place in a period of time',5,20,"A time when big, white flakes come down from the sky and cover the ground; how much white stuff piles up in one spot while it's happening.",27,0.7502693
1310,approximately,'Said for a quantity (time size place ...) that is given in a imprecise way but close to the real value.','used to show that something is almost but not completely accurate or correct',21,13,"It means something is close to being right, but not totally perfect.",12,0.76449305
1311,handkerchief,'A piece of cloth usually square and often fine and elegant carried for wiping the face nose or hands.','a small piece of material or paper that you use for blowing your nose etc.',19,15,A tiny thing made of cloth or paper to wipe your nose.,12,0.85106045
1312,antiseptic,'Method for treating or preventing infectious diseases using antiseptic methods such as sterilization.','a substance that helps to prevent infection in wounds by killing bacteria',13,12,It's a thing that stops germs in cuts and helps them not get sick.,14,0.79943615
1313,activist,'Someone who as a citizen is politically active.','a person who works to achieve political or social change especially as a member of an organization with particular aims',8,20,"A person who works to make changes in how things are, like in politics or how people treat each other, especially if they are part of a group with goals they believe in. But let's make it even simpler for kids: Someone who helps make things better, maybe by joining a team that wants the same changes.",57,0.7616106
1314,usability,'The ease with which people can employ a particular tool in order to achieve its particular goal.','the quality of being easy to use',17,7,how simple it is to use,6,0.7112634
1315,creativity,'The ability of a person to create or invent something.','the use of skill and imagination to produce something new or to produce art',10,14,Using clever ideas and a lot of thinking to make new things or pretty pictures.,15,0.77665627
1316,start-up,'The act of setting something in operation.','a company that is just beginning to operate',7,8,a new company that just started to work,8,0.77661216
1317,bandage,'Any therapeutic material that is used to cover an injury.','a long narrow piece of cloth used for tying around a part of the body that has been hurt in order to protect or support it',10,26,"A long, skinny cloth to wrap around a boo-boo on your body to help it feel better and stay safe.",20,0.81064624
1318,accountant,'A person who maintains the financial records of other people.','a person whose job is to keep or check financial accounts',10,11,a person who works with money and checks how much there is,12,0.8010962
1319,dicker,'To negotiate the terms of an exchange.','to argue about or discuss something with somebody especially in order to agree on a price',7,16,"to talk with someone about a thing, maybe to decide on how much it costs",15,0.7385786
1320,bankruptcy,'A legally declared inability of an individual or organisation to pay their creditors.','the state of being bankrupt',13,5,when someone has no money and owes a lot,9,0.644469
1321,pullover,'A thick warm piece of clothing with long sleeves which is put on over the head.','a knitted piece of clothing made of wool or cotton for the upper part of the body with long sleeves and no buttons',16,23,"A warm top with long arms, no snaps, made from wool or soft cotton.",14,0.8290025
1322,incorrigible,'Impossible to correct or set right.','having bad habits that cannot be changed or improved',6,9,having not-good habits that can't be made better,8,0.82953644
1323,cholesterol,'A lipid from the sterol family both made by the body and consumed in food products that come from animals.','a fatty substance found in most tissues of the body. Too much cholesterol in the blood is linked to a higher risk of heart disease.',20,25,"Cholesterol is a soft thing in our body. If there's too much in your blood, it can make your heart not work well.",23,0.8164257
1324,botch,'To cause something to have an unsatisfying irritating or unusable result.','to do something badly ',11,5,to do something not good,5,0.65869296
1325,adequately,'In a manner that is equal to some requirement.','in a way that is enough in quantity or good enough in quality for a particular purpose or need',9,19,"just right, not too little and not too much, good for what you need",14,0.67054236
1326,sufficiently,'In a manner that is equal to some requirement.','enough for a particular purpose; as much as you need',9,10,just right for what you need,6,0.6775056
1327,satisfactorily,'In a manner that is equal to some requirement.','in a way that is good enough for a particular purpose',9,11,good enough for what we need,6,0.6577666
1328,kamikaze,'Japanese aircraft pilot who committed suicide by crashing his aircraft on enemy targets during the Second World War.','used to describe the way soldiers attack the enemy knowing that they too will be killed',18,16,"It's about soldiers fighting bad guys, even if they get hurt too.",12,0.7358596
1329,clientele,'The group of all customers of a shop a public local an office etc.','all the customers or clients of a shop restaurant organization etc.',14,11,all the people who go to a shop or restaurant.,10,0.7469268
1330,diagnosis,'The result of identifying the nature and cause of something.','the act of discovering or identifying the exact cause of an illness or a problem',10,15,finding out what's making you sick or what's causing a problem,11,0.74601305
1331,diagram,'A plan drawing sketch or outline to show how something works or show the relationships between the parts of a whole.','to show something using a diagram',21,6,to use a picture with lines and shapes to show how something works,13,0.77273035
1332,designer,'Someone who creates plans to be used in making something.','a person whose job is to decide how things such as clothes furniture tools etc. will look or work by making drawings plans or patterns',10,25,"A person who draws plans to make things like clothes, furniture, and tools look nice or work well.",18,0.8426232
1333,gourmet,'A person who enjoys choosing eating and drinking high quality food and wines and who knows a lot about them.','of high quality and often expensive; connected with food or drink of this type',20,14,really good and sometimes costly; linked to tasty food or drinks,11,0.7721671
1334,epicure,'A person who enjoys choosing eating and drinking high quality food and wines and who knows a lot about them.','a person who enjoys food and drink of high quality and knows a lot about it',20,16,a person who really likes yummy food and drinks and knows a lot about them,15,0.8390413
1335,epicurean,'A person who enjoys choosing eating and drinking high quality food and wines and who knows a lot about them.','taking great pleasure in things especially food and drink and enjoying yourself',20,12,"Really liking things, mostly food and drink, and having a good time.",12,0.79185736
1336,foodie,'A person who enjoys choosing eating and drinking high quality food and wines and who knows a lot about them.','a person who is very interested in cooking and eating different kinds of food',20,14,a person who really likes cooking and eating many kinds of food,12,0.8858868
1337,oenophile,'A person who enjoys choosing and drinking high quality wine and who knows a lot about it.','a person who knows a lot about wine',17,8,a person who knows much about wine,7,0.8453337
1338,compulsory,'Needed for a purpose or a reason.','that must be done because of a law or a rule',7,11,That has to be done because of a rule.,9,0.814792
1339,indispensable,'Needed for a purpose or a reason.','too important to be without',7,5,"very important, can't do without",5,0.68539345
1340,byname,'An informal often humorous name; a name that is either connected to the real name the personality the appearance or an anecdote.','a name given to somebody who has the same first name as somebody else so that it is clear who is being referred to',22,24,"A name used when two people have the same first name, so we know who we're talking about.",18,0.79902303
1341,mortify,To destroy somebody's confidence or happiness; to humiliate.,'to make somebody feel very ashamed or embarrassed',8,8,to make somebody feel really shy or silly,8,0.8080015
1342,infatuation,'A strong feeling of love often for just a short time usually by an adolescent.','very strong feelings of love or attraction for somebody/something especially when these are unreasonable and do not last long',15,19,"Really strong feelings of liking someone or something, but they don't make sense and don't stay for long.",18,0.76415265
